
Entry                     RecordName                Record Status    Section TimeTo Data   Data
                                                    Type                     Live   Length
-----                     ----------                ------ ------    ------- ------ ------ ----
crl3.digicert.com         crl3.digicert.com         CNAME  Success   Answer    1666      8 cs9.wac.phicdn.net
crl3.digicert.com         cs9.wac.phicdn.net        A      Success   Answer    1666      4 72.21.91.29
teams.microsoft.com       teams.microsoft.com       CNAME  Success   Answer      10      8 teams.office.com
teams.microsoft.com       teams.office.com          CNAME  Success   Answer      10      8 teams-office-com.s-0005.s...
teams.microsoft.com       teams-office-com.s-000... CNAME  Success   Answer      10      8 s-0005.s-msedge.net
teams.microsoft.com       s-0005.s-msedge.net       AAAA   Success   Answer      10     16 2620:1ec:42::132
teams.microsoft.com       teams.microsoft.com       CNAME  Success   Answer      10      8 teams.office.com
teams.microsoft.com       teams.office.com          CNAME  Success   Answer      10      8 teams-office-com.s-0005.s...
teams.microsoft.com       teams-office-com.s-000... CNAME  Success   Answer      10      8 s-0005.s-msedge.net
teams.microsoft.com       s-0005.s-msedge.net       A      Success   Answer      10      4 52.113.194.132
settings-win.data.micr... settings-win.data.micr... CNAME  Success   Answer      44      8 settingsfd-geo.trafficman...
settings-win.data.micr... settingsfd-geo.traffic... A      Success   Answer      44      4 52.185.211.133
login.microsoftonline.com login.microsoftonline.com CNAME  Success   Answer      96      8 a.privatelink.msidentity.com
login.microsoftonline.com a.privatelink.msidenti... CNAME  Success   Answer      96      8 prda.aadg.msidentity.com
login.microsoftonline.com prda.aadg.msidentity.com  CNAME  Success   Answer      96      8 www.tm.a.prd.aadg.traffic...
login.microsoftonline.com www.tm.a.prd.aadg.traf... A      Success   Answer      96      4 20.190.131.98
login.microsoftonline.com www.tm.a.prd.aadg.traf... A      Success   Answer      96      4 40.126.3.32
login.microsoftonline.com www.tm.a.prd.aadg.traf... A      Success   Answer      96      4 40.126.3.97
login.microsoftonline.com www.tm.a.prd.aadg.traf... A      Success   Answer      96      4 20.190.131.8
login.microsoftonline.com www.tm.a.prd.aadg.traf... A      Success   Answer      96      4 40.126.3.33
login.microsoftonline.com www.tm.a.prd.aadg.traf... A      Success   Answer      96      4 40.126.3.35
login.microsoftonline.com www.tm.a.prd.aadg.traf... A      Success   Answer      96      4 40.126.3.99
login.microsoftonline.com www.tm.a.prd.aadg.traf... A      Success   Answer      96      4 40.126.3.98
arc.msn.com               arc.msn.com               CNAME  Success   Answer      10      8 arc.msn.com.nsatc.net
arc.msn.com               arc.msn.com.nsatc.net     A      Success   Answer      10      4 52.184.215.140
fe3.delivery.mp.micros... fe3.delivery.mp.micros... CNAME  Success   Answer      11      8 fe3.delivery.dsp.mp.micro...
fe3.delivery.mp.micros... fe3.delivery.dsp.mp.mi... A      Success   Answer      11      4 65.52.108.90
ocsp.digicert.com         ocsp.digicert.com         CNAME  Success   Answer    1666      8 cs9.wac.phicdn.net
ocsp.digicert.com         cs9.wac.phicdn.net        A      Success   Answer    1666      4 72.21.91.29
urlp.sfbassets.com        urlp.sfbassets.com        CNAME  Success   Answer      25      8 urlp-sfbassets-com.s-0004...
urlp.sfbassets.com        urlp-sfbassets-com.s-0... CNAME  Success   Answer      25      8 s-0004.s-msedge.net
urlp.sfbassets.com        s-0004.s-msedge.net       AAAA   Success   Answer      25     16 2620:1ec:42::131
urlp.sfbassets.com        urlp.sfbassets.com        CNAME  Success   Answer      25      8 urlp-sfbassets-com.s-0004...
urlp.sfbassets.com        urlp-sfbassets-com.s-0... CNAME  Success   Answer      25      8 s-0004.s-msedge.net
urlp.sfbassets.com        s-0004.s-msedge.net       A      Success   Answer      25      4 52.113.194.131
fe2.update.microsoft.com  fe2.update.microsoft.com  CNAME  Success   Answer     234      8 fe2.update.microsoft.com....
fe2.update.microsoft.com  fe2.update.microsoft.c... AAAA   Success   Answer     234     16 2a01:111:f307:1793::a61
fe2.update.microsoft.com  fe2.update.microsoft.c... AAAA   Success   Answer     234     16 2a01:111:f330:1790::a01
fe2.update.microsoft.com  fe2.update.microsoft.c... AAAA   Success   Answer     234     16 2a01:111:f330:1793::a21
fe2.update.microsoft.com  fe2.update.microsoft.com  CNAME  Success   Answer      28      8 fe2.update.microsoft.com....
fe2.update.microsoft.com  fe2.update.microsoft.c... A      Success   Answer      28      4 20.188.78.187
fe2.update.microsoft.com  fe2.update.microsoft.c... A      Success   Answer      28      4 40.70.224.147
fe2.update.microsoft.com  fe2.update.microsoft.c... A      Success   Answer      28      4 52.142.21.139
